Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Jumlah Penduduk,Jumlah Kepala Keluarga,Perpindahan Penduduk,Jumlah Meninggal,Perubahan Data,Wajib KTP,Jumlah Rekam Wajib KTP,Islam,Kristen,Katholik,Hindu,Buddha,Konghuchu,Kepercayaan terhadap Tuhan YME,Laki-laki,Perempuan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati,Usia 0-4 Tahun,Usia 5-9 Tahun,Usia 10-14 Tahun,Usia 15-19 Tahun,Usia 20-24 Tahun,Usia 25-29 Tahun,Usia 30-34 Tahun,Usia 35-39 Tahun,Usia 40-44 Tahun,Usia 45-49 Tahun,Usia 50-54 Tahun,Usia 55-59 Tahun,Usia 60-64 Tahun,Usia 65-69 Tahun,Usia 70-74 Tahun,Usia 75 Tahun ke Atas,Lahir Tahun 2020,Lahir Sebelum Tahun 2020,Lahir Tahun 2021,Lahir Sebelum Tahun 2021,Lahir Tahun 2022,Lahir Sebelum Tahun 2022,Lahir Tahun 2023,Lahir Sebelum Tahun 2023,Lahir Tahun 2024,Lahir Sebelum Tahun 2024,Pertumbuhan Penduduk Tahun 2020 (%),Pertumbuhan Penduduk Tahun 2021 (%),Pertumbuhan Penduduk Tahun 2022 (%),Pertumbuhan Penduduk Tahun 2023 (%),Pertumbuhan Penduduk Tahun 2024 (%),Usia Pendidikan 3-4 Tahun,Usia Pendidikan 5 Tahun,Usia Pendidikan 6-11 Tahun,Usia Pendidikan 12-14 Tahun,Usia Pendidikan 15-17 Tahun,Usia Pendidikan 18-22 Tahun,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SLTP,SLTA,D1 dan D2,D3,S1,S2,S3,Golongan Darah A,Golongan Darah B,Golongan Darah AB,Golongan Darah O,Golongan Darah A+,Golongan Darah A-,Golongan Darah B+,Golongan Darah B-,Golongan Darah AB+,Golongan Darah AB-,Golongan Darah O+,Golongan Darah O-,Golongan Darah Tidak Diketahui,Belum/Tidak Bekerja,Nelayan,Pelajar dan Mahasiswa,Pensiunan,Perdagangan,Mengurus Rumah Tannga,Wiraswasta,Guru,Perawat,Pengacara,Pekerjaan Lainnya
JAWA TIMUR,KAB. JEMBER,BALUNG,CURAHLELE,"6,636","2,294",18,13,"5,599","4,970","4,970","6,631",2,3,0,0,0,0,"3,334","3,302","2,543","3,609",135,349,376,517,541,421,481,469,465,496,475,409,469,416,423,263,200,215,92,"6,260",90,"6,352",86,"6,442",69,"6,528",39,"6,597",1,1,1,1,1,182,99,633,326,263,439,"1,953",790,"2,474",765,529,6,16,93,10,0,52,113,9,59,2,0,0,1,1,0,0,2,"6,397","1,859",2,623,3,90,957,"1,527",38,,,
JAWA TIMUR,KAB. JEMBER,WULUHAN,TANJUNGREJO,"17,168","5,952",35,25,"15,442","13,422","13,422","17,119",19,26,2,2,0,0,"8,792","8,376","6,663","9,358",400,747,884,"1,172","1,205","1,137","1,301","1,253","1,181","1,171","1,292","1,251","1,349","1,269",971,658,520,554,208,"16,284",239,"16,492",210,"16,731",138,"16,941",89,"17,079",1,1,1,1,1,447,260,"1,396",721,663,"1,248","4,033","1,820","4,946","3,071","2,633",80,112,451,20,2,128,95,43,195,6,1,6,1,1,0,7,17,"16,668","4,573",3,"1,864",41,297,"2,624","2,989",146,19,1,
JAWA TIMUR,KAB. JEMBER,PANTI,SERUT,"13,305","4,869",44,27,"11,233","10,187","10,187","13,294",8,1,1,0,1,0,"6,573","6,732","4,997","7,309",291,708,749,964,"1,019",845,"1,026",942,953,971,963,850,936,928,749,502,371,537,195,"12,556",182,"12,751",147,"12,933",123,"13,080",102,"13,203",2,1,1,1,1,377,184,"1,183",616,523,908,"4,041","2,075","3,685","1,818","1,360",28,52,236,9,1,82,190,94,352,2,0,1,0,0,0,1,4,"12,579","3,748",4,"1,184",17,331,"2,737","2,213",93,10,,
JAWA TIMUR,KAB. JEMBER,SUKORAMBI,KARANGPRING,"9,484","3,236",15,19,"7,607","7,226","7,226","9,484",0,0,0,0,0,0,"4,746","4,738","3,508","5,327",146,503,556,741,674,597,747,746,684,675,673,678,675,566,488,316,309,359,136,"8,928",101,"9,064",129,"9,165",120,"9,294",70,"9,414",2,1,1,1,1,237,128,875,412,368,660,"3,243","1,910","2,913",801,509,8,14,82,4,0,19,14,10,23,0,0,0,0,0,0,1,1,"9,416","2,652",2,960,8,202,"1,821","1,002",46,2,,
JAWA TIMUR,KAB. JEMBER,JENGGAWAH,KEMUNINGSARIKIDUL,"10,134","3,569",20,21,"9,150","7,737","7,736","10,120",6,6,2,0,0,0,"5,115","5,019","3,906","5,437",245,546,560,761,771,616,779,776,741,708,761,682,767,652,493,359,303,405,141,"9,574",127,"9,715",136,"9,842",93,"9,978",63,"10,071",1,1,1,1,1,268,152,884,496,372,692,"2,525","1,067","3,215","1,844","1,210",25,46,195,7,0,51,93,31,150,2,1,0,0,0,0,0,3,"9,803","2,542",6,"1,192",19,182,"1,532","1,742",117,8,1,
JAWA TIMUR,KAB. JEMBER,SUMBERSARI,ANTIROGO,"12,264","4,346",59,26,"10,514","9,220","9,220","12,231",32,1,0,0,0,0,"6,030","6,234","4,628","6,674",258,704,814,902,981,724,992,979,963,878,879,746,847,729,566,432,370,462,195,"11,450",189,"11,645",176,"11,834",135,"12,010",119,"12,145",2,2,1,1,1,384,191,"1,076",616,434,822,"3,567","1,298","4,080","1,320","1,458",34,90,371,39,7,73,151,98,292,6,0,2,0,1,0,3,5,"11,633","3,328",1,"1,292",25,55,"2,034","2,740",80,10,1,
JAWA TIMUR,KAB. JEMBER,ARJASA,CANDIJATI,"5,517","2,054",36,9,"4,876","4,211","4,211","5,501",13,1,2,0,0,0,"2,706","2,811","2,018","3,077",106,316,338,390,414,334,450,407,396,425,414,429,375,286,272,230,157,200,73,"5,179",74,"5,252",64,"5,326",81,"5,390",46,"5,471",1,1,1,2,1,147,96,448,260,217,387,"1,467",672,"1,647",669,858,27,33,132,11,1,40,53,12,111,5,0,1,0,0,0,0,2,"5,293","1,508",,512,19,69,"1,014",898,34,8,2,
JAWA TIMUR,KAB. JEMBER,KALISAT,SUKORENO,"4,549","1,817",8,3,"3,799","3,537","3,537","4,548",1,0,0,0,0,0,"2,254","2,295","1,488","2,653",109,299,264,295,332,232,335,330,343,297,300,333,325,286,286,161,167,263,62,"4,285",64,"4,347",50,"4,411",60,"4,461",28,"4,521",1,1,1,1,1,126,50,364,213,145,285,"1,186",533,"2,007",487,287,5,12,29,3,0,6,17,5,22,0,0,0,0,0,0,0,2,"4,497","1,205",,267,8,38,594,608,3,,1,
JAWA TIMUR,KAB. JEMBER,KALISAT,SUMBERJERUK,"4,893","1,815",10,9,"4,338","3,741","3,741","4,885",6,2,0,0,0,0,"2,385","2,508","1,797","2,742",113,241,302,340,358,301,371,355,351,338,365,324,309,283,291,200,159,246,74,"4,591",77,"4,665",63,"4,742",48,"4,805",40,"4,853",2,2,1,1,1,151,75,407,216,192,323,"1,276",516,"1,576",617,674,34,50,144,4,2,15,38,12,51,1,0,0,0,1,0,0,1,"4,774","1,387",1,402,29,20,"1,133",535,40,17,,
JAWA TIMUR,KAB. JEMBER,SILO,SILO,"10,923","3,995",30,11,"8,563","8,247","8,247","10,887",8,26,0,2,0,0,"5,497","5,426","4,006","6,271",164,482,593,859,841,695,855,827,769,782,835,836,805,693,552,389,281,311,167,"10,330",150,"10,497",118,"10,647",106,"10,765",52,"10,871",2,1,1,1,0,317,166,"1,060",474,437,745,"3,032","1,613","4,048","1,247",805,21,40,116,1,0,24,29,9,40,2,0,0,1,0,0,0,7,"10,811","2,772",2,"1,227",30,119,"1,961","1,713",63,12,,
